# Array definition for CST antenna array tools
# unit: meters
# Element	X 	Y 	Z 	Magnitude	Phase	Phi	Theta	Gamma
105	0.106751500000000	0.0719496000000000	0	0.00485091098861739	-15.6415197989330	0	0	0
106	0.121335300000000	0.0719496000000000	0	0.0111917831846735	113.738396616172	0	0	0
107	0.127639000000000	0.0719496000000000	0	0.00748399412445024	-163.743807308574	0	0	0
108	0.135894600000000	0.0719496000000000	0	0.00470295365390003	-110.060337542778	0	0	0
109	0.148928000000000	0.0719496000000000	0	0.00481575826708490	50.8197588784086	0	0	0
110	0.156644500000000	0.0719496000000000	0	0.00353987680716123	102.412946492470	0	0	0
111	0.178701100000000	0.0719496000000000	0	0.00107851263682052	-50.7911848033089	0	0	0
112	0.191893100000000	0.0719496000000000	0	0.000246445608790303	108.198851413370	0	0	0
113	0	0.0851416000000000	0	0.00199708119595396	-3.97384416840186	0	0	0
114	0.0145838000000000	0.0851416000000000	0	0.00884781614123699	133.934212426211	0	0	0
115	0.0208875000000000	0.0851416000000000	0	0.00850375287804196	-142.084296675407	0	0	0
116	0.0291431000000000	0.0851416000000000	0	0.00772064332143581	-79.9609881119526	0	0	0
117	0.0421765000000000	0.0851416000000000	0	0.0120202834273922	73.6974125937752	0	0	0
118	0.0498930000000000	0.0851416000000000	0	0.00950955358435282	129.388072244047	0	0	0
119	0.0719496000000000	0.0851416000000000	0	0.0136534679149765	-22.6513381922735	0	0	0
120	0.0851416000000000	0.0851416000000000	0	0.0158869468897095	131.399868144275	0	0	0
121	0.106751500000000	0.0851416000000000	0	0.00744757919029965	-15.6415531103471	0	0	0
122	0.121335300000000	0.0851416000000000	0	0.0171826883123818	113.738363304758	0	0	0
123	0.127639000000000	0.0851416000000000	0	0.0114901384569555	-163.743840619988	0	0	0
124	0.135894600000000	0.0851416000000000	0	0.00722042104007202	-110.060370854192	0	0	0
125	0.148928000000000	0.0851416000000000	0	0.00739360939411455	50.8197255669946	0	0	0
126	0.156644500000000	0.0851416000000000	0	0.00543475501964478	102.412913181056	0	0	0
